id;test_id;answer_type_id;image_path;possible_answer_count;num_in_test
1;1;1;/img/test_A/question_1.png;5;1
2;1;1;/img/test_A/question_2.png;5;2
3;1;1;/img/test_A/question_3.png;5;3
4;1;1;/img/test_A/question_4.png;5;4
5;1;1;/img/test_A/question_5.png;5;5
6;1;1;/img/test_A/question_6.png;5;6
7;1;1;/img/test_A/question_7.png;5;7
8;1;1;/img/test_A/question_8.png;5;8
9;1;1;/img/test_A/question_9.png;5;9
10;1;1;/img/test_A/question_10.png;5;10
11;1;1;/img/test_A/question_11.png;5;11
12;1;1;/img/test_A/question_12.png;5;12
13;1;1;/img/test_A/question_13.png;5;13
14;1;1;/img/test_A/question_14.png;5;14
15;1;1;/img/test_A/question_15.png;5;15
16;1;1;/img/test_A/question_16.png;5;16
17;1;1;/img/test_A/question_17.png;5;17
18;1;1;/img/test_A/question_18.png;5;18
19;1;1;/img/test_A/question_19.png;5;19
20;1;1;/img/test_A/question_20.png;5;20
21;2;1;/img/test_B/question_1.png;4;1
22;2;1;/img/test_B/question_2.png;4;2
23;2;1;/img/test_B/question_3.png;4;3
24;2;1;/img/test_B/question_4.png;5;4
25;2;1;/img/test_B/question_5.png;4;5
26;2;1;/img/test_B/question_6.png;3;6
27;2;1;/img/test_B/question_7.png;5;7
28;2;1;/img/test_B/question_8.png;4;8
29;2;1;/img/test_B/question_9.png;4;9
30;2;1;/img/test_B/question_10.png;3;10
31;2;1;/img/test_B/question_11.png;4;11
32;2;1;/img/test_B/question_12.png;4;12
33;2;1;/img/test_B/question_13.png;3;13
34;2;1;/img/test_B/question_14.png;4;14
35;2;1;/img/test_B/question_15.png;4;15
36;2;1;/img/test_B/question_16.png;3;16
37;2;1;/img/test_B/question_17.png;5;17
38;2;1;/img/test_B/question_18.png;4;18
39;2;1;/img/test_B/question_19.png;4;19
40;2;1;/img/test_B/question_20.png;5;20
41;3;2;/img/test_C/question_1.png;10;1
42;3;2;/img/test_C/question_2.png;10;2
43;3;2;/img/test_C/question_3.png;10;3
44;3;2;/img/test_C/question_4.png;10;4
45;3;2;/img/test_C/question_5.png;10;5
46;3;2;/img/test_C/question_6.png;10;6
47;3;2;/img/test_C/question_7.png;10;7
48;3;2;/img/test_C/question_8.png;10;8
49;3;2;/img/test_C/question_9.png;10;9
50;3;2;/img/test_C/question_10.png;10;10
51;3;2;/img/test_C/question_11.png;10;11
52;3;2;/img/test_C/question_12.png;10;12
53;3;2;/img/test_C/question_13.png;10;13
54;3;2;/img/test_C/question_14.png;10;14
55;3;2;/img/test_C/question_15.png;10;15
56;4;1;/img/test_D/question_1.png;5;1
57;4;1;/img/test_D/question_2.png;5;2
58;4;1;/img/test_D/question_3.png;5;3
59;4;1;/img/test_D/question_4.png;5;4
60;4;1;/img/test_D/question_5.png;5;5
61;4;1;/img/test_D/question_6.png;5;6
62;4;1;/img/test_D/question_7.png;5;7
63;4;1;/img/test_D/question_8.png;5;8
64;4;1;/img/test_D/question_9.png;5;9
65;4;1;/img/test_D/question_10.png;5;10
66;4;1;/img/test_D/question_11.png;5;11
67;4;1;/img/test_D/question_12.png;5;12
68;5;4;/img/test_E/question_1.png;1;1
69;5;4;/img/test_E/question_2.png;1;2
70;5;4;/img/test_E/question_3.png;1;3
71;5;4;/img/test_E/question_4.png;1;4
72;5;4;/img/test_E/question_5.png;1;5
73;5;4;/img/test_E/question_6.png;1;6
74;5;4;/img/test_E/question_7.png;1;7
75;5;4;/img/test_E/question_8.png;1;8
76;5;4;/img/test_E/question_9.png;1;9
77;5;4;/img/test_E/question_10.png;1;10
78;6;3;/txt/test_F/question_1.txt;1;1
79;7;1;/img/test_G/question_1.png;4;1
80;7;1;/img/test_G/question_2.png;4;2
81;7;1;/img/test_G/question_3.png;4;3
82;7;1;/img/test_G/question_4.png;4;4
83;7;1;/img/test_G/question_5.png;4;5
84;7;1;/img/test_G/question_6.png;4;6
85;7;1;/img/test_G/question_7.png;4;7
86;7;1;/img/test_G/question_8.png;4;8
87;7;1;/img/test_G/question_9.png;4;9
88;7;1;/img/test_G/question_10.png;4;10
89;8;5;/img/test_H/question_1.png;1;1
90;8;5;/img/test_H/question_2.png;1;2
91;8;5;/img/test_H/question_3.png;1;3
92;8;5;/img/test_H/question_4.png;1;4
93;8;5;/img/test_H/question_5.png;1;5
94;8;5;/img/test_H/question_6.png;1;6
95;8;5;/img/test_H/question_7.png;1;7
96;8;5;/img/test_H/question_8.png;1;8
97;8;5;/img/test_H/question_9.png;1;9
98;9;1;/img/test_J/question_1.png;3;1
99;9;1;/img/test_J/question_2.png;4;2
100;9;1;/img/test_J/question_3.png;4;3
101;9;1;/img/test_J/question_4.png;3;4
102;9;1;/img/test_J/question_5.png;4;5
103;9;1;/img/test_J/question_6.png;4;6
104;9;1;/img/test_J/question_7.png;3;7
105;9;1;/img/test_J/question_8.png;4;8
106;9;1;/img/test_J/question_9.png;4;9
107;9;1;/img/test_J/question_10.png;4;10
108;9;1;/img/test_J/question_11.png;4;11
109;9;1;/img/test_J/question_12.png;4;12
110;9;1;/img/test_J/question_13.png;4;13
111;9;1;/img/test_J/question_14.png;4;14
112;9;1;/img/test_J/question_15.png;4;15
113;9;1;/img/test_J/question_16.png;3;16
114;9;1;/img/test_J/question_17.png;4;17
115;9;1;/img/test_J/question_18.png;4;18
116;9;1;/img/test_J/question_19.png;4;19
117;9;1;/img/test_J/question_20.png;4;20
118;9;1;/img/test_J/question_21.png;4;21
119;9;1;/img/test_J/question_22.png;4;22
120;9;1;/img/test_J/question_23.png;4;23
121;10;6;/img/test_K/question_1.png;1;1
122;10;6;/img/test_K/question_2.png;1;2
123;10;6;/img/test_K/question_3.png;1;3
124;10;6;/img/test_K/question_4.png;1;4
125;10;6;/img/test_K/question_5.png;1;5
126;10;6;/img/test_K/question_6.png;1;6
